"","V1","V2"
"667",139.91875,-19.20125
"668",139.91875,-20.40125
"669",139.91875,-19.80125
"670",139.91875,-18.00125
"671",139.91875,-21.00125
"672",139.91875,-18.60125
"673",138.71875,-35.40125
"674",138.71875,-34.20125
"675",138.71875,-34.80125
"676",139.31875,-25.80125
"677",139.31875,-27.00125
"678",139.31875,-26.40125
"679",139.31875,-23.40125
"680",139.31875,-25.20125
"681",139.31875,-24.60125
"682",139.31875,-22.20125
"683",139.31875,-21.60125
"684",139.31875,-24.00125
"685",139.31875,-22.80125
"686",139.31875,-19.20125
"687",139.31875,-18.60125
"688",139.31875,-21.00125
"689",139.31875,-19.80125
"690",139.31875,-17.40125
"691",139.31875,-18.00125
"692",138.71875,-33.60125
"693",138.11875,-33.00125
"694",138.71875,-33.00125
"695",138.71875,-31.20125
"696",138.71875,-30.60125
"697",138.11875,-33.60125
"698",139.31875,-20.40125
"699",138.71875,-32.40125
"700",138.71875,-31.80125
"701",138.71875,-30.00125
"702",138.71875,-29.40125
"703",138.11875,-30.00125
"704",138.71875,-27.00125
"705",138.71875,-24.60125
"706",138.71875,-27.60125
"707",138.11875,-29.40125
"708",138.11875,-30.60125
"709",138.11875,-28.80125
"710",138.11875,-28.20125
"711",138.71875,-28.20125
"712",138.71875,-28.80125
"713",138.11875,-27.00125
"714",138.71875,-23.40125
"715",138.71875,-24.00125
"716",138.71875,-26.40125
"717",138.71875,-25.80125
"718",138.71875,-21.60125
"719",138.71875,-18.00125
"720",138.71875,-17.40125
"721",138.71875,-20.40125
"722",138.71875,-22.80125
"723",138.71875,-19.80125
"724",138.71875,-19.20125
"725",138.71875,-18.60125
"726",138.71875,-21.00125
"727",138.71875,-25.20125
"728",138.71875,-22.20125
"729",137.51875,-34.20125
"730",137.51875,-34.80125
"731",137.51875,-33.00125
"732",137.51875,-31.80125
"733",137.51875,-29.40125
"734",137.51875,-32.40125
"735",137.51875,-31.20125
"736",137.51875,-30.00125
"737",136.91875,-33.60125
"738",138.11875,-26.40125
"739",138.11875,-24.60125
"740",138.11875,-25.20125
"741",137.51875,-27.60125
"742",138.11875,-23.40125
"743",138.11875,-22.20125
"744",137.51875,-27.00125
"745",138.11875,-21.00125
"746",138.11875,-18.60125
"747",138.11875,-18.00125
"748",136.91875,-31.80125
"749",138.11875,-19.20125
"750",138.11875,-17.40125
"751",138.11875,-25.80125
"752",138.11875,-16.80125
"753",136.91875,-33.00125
"754",137.51875,-26.40125
"755",138.11875,-24.00125
"756",138.11875,-22.80125
"757",137.51875,-25.80125
"758",136.91875,-32.40125
"759",136.91875,-31.20125
"760",138.11875,-21.60125
"761",138.11875,-20.40125
"762",136.91875,-30.60125
"763",137.51875,-23.40125
"764",138.11875,-19.80125
"765",136.91875,-29.40125
"766",137.51875,-22.80125
"767",137.51875,-25.20125
"768",137.51875,-24.00125
"769",137.51875,-24.60125
"770",136.91875,-30.00125
"771",136.91875,-28.20125
"772",138.11875,-32.40125
"773",136.91875,-26.40125
"774",136.31875,-33.60125
"775",137.51875,-22.20125
"776",136.91875,-27.00125
"777",136.91875,-27.60125
"778",137.51875,-18.00125
"779",137.51875,-21.60125
"780",136.31875,-32.40125
"781",137.51875,-21.00125
"782",137.51875,-16.80125
"783",137.51875,-17.40125
"784",137.51875,-20.40125
"785",137.51875,-19.20125
"786",137.51875,-19.80125
"787",136.91875,-25.20125
"788",136.31875,-30.60125
"789",136.31875,-31.80125
"790",136.31875,-33.00125
"791",136.91875,-25.80125
"792",136.31875,-31.20125
"793",136.31875,-30.00125
"794",138.11875,-31.80125
"795",136.31875,-28.80125
"796",137.51875,-18.60125
"797",136.31875,-29.40125
"798",136.31875,-27.00125
"799",136.91875,-24.60125
"800",136.31875,-25.20125
"801",136.91875,-23.40125
"802",136.91875,-21.60125
"803",136.31875,-25.80125
"804",136.91875,-22.80125
"805",136.91875,-21.00125
"806",136.31875,-27.60125
"807",136.31875,-28.20125
"808",136.91875,-20.40125
"809",136.91875,-22.20125
"810",136.91875,-18.00125
"811",136.91875,-24.00125
"812",136.31875,-26.40125
"813",136.91875,-19.80125
"814",136.91875,-19.20125
"815",136.91875,-17.40125
"816",136.91875,-16.20125
"817",135.71875,-34.80125
"818",136.91875,-16.80125
"819",136.91875,-18.60125
"820",138.11875,-27.60125
"821",135.71875,-34.20125
"822",135.71875,-33.60125
"823",135.71875,-31.80125
"824",135.71875,-30.60125
"825",135.71875,-30.00125
"826",135.71875,-29.40125
"827",135.71875,-32.40125
"828",136.31875,-24.00125
"829",136.31875,-24.60125
"830",135.71875,-33.00125
"831",135.71875,-28.20125
"832",136.31875,-22.80125
"833",136.31875,-22.20125
"834",136.31875,-23.40125
"835",135.71875,-28.80125
"836",136.31875,-21.60125
"837",135.71875,-27.60125
"838",136.31875,-19.80125
"839",135.71875,-26.40125
"840",136.31875,-20.40125
"841",136.31875,-18.60125
"842",135.71875,-25.20125
"843",135.71875,-25.80125
"844",136.31875,-21.00125
"845",136.31875,-16.80125
"846",136.31875,-16.20125
"847",136.31875,-19.20125
"848",135.71875,-24.60125
"849",135.71875,-24.00125
"850",136.31875,-17.40125
"851",136.31875,-12.60125
"852",136.31875,-12.60125
"853",135.71875,-21.60125
"854",136.31875,-18.00125
"855",135.71875,-27.00125
"856",135.71875,-22.20125
"857",135.71875,-23.40125
"858",135.71875,-22.80125
"859",135.71875,-19.20125
"860",135.71875,-17.40125
"861",135.71875,-15.60125
"862",135.71875,-21.00125
"863",135.71875,-16.80125
"864",135.71875,-16.20125
"865",135.71875,-19.80125
"866",135.71875,-20.40125
"867",135.71875,-18.60125
"868",135.71875,-18.00125
"869",135.11875,-33.00125
"870",135.11875,-33.60125
"871",135.11875,-30.00125
"872",135.11875,-32.40125
"873",135.11875,-31.80125
"874",135.11875,-30.60125
"875",135.71875,-13.80125
"876",135.71875,-12.60125
"877",135.71875,-12.60125
"878",135.71875,-13.20125
"879",135.11875,-27.00125
"880",135.11875,-29.40125
"881",135.11875,-24.60125
"882",135.11875,-24.00125
"883",135.11875,-28.20125
"884",135.11875,-28.80125
"885",135.11875,-27.60125
"886",135.11875,-26.40125
"887",135.11875,-25.20125
"888",135.11875,-25.80125
"889",135.11875,-21.00125
"890",135.11875,-22.20125
"891",135.11875,-18.00125
"892",135.11875,-22.80125
"893",135.11875,-19.80125
"894",135.11875,-20.40125
"895",135.11875,-23.40125
"896",135.11875,-15.60125
"897",135.11875,-16.20125
"898",135.11875,-16.80125
"899",135.11875,-13.20125
"900",135.11875,-15.00125
"901",135.11875,-14.40125
"902",135.11875,-12.60125
"903",135.11875,-12.60125
"904",135.11875,-13.80125
"905",135.11875,-17.40125
"906",135.11875,-18.60125
"907",135.11875,-21.60125
"908",135.11875,-19.20125
"909",134.51875,-33.00125
"910",134.51875,-32.40125
"911",134.51875,-31.80125
"912",134.51875,-30.00125
"913",134.51875,-31.20125
"914",134.51875,-30.60125
"915",134.51875,-29.40125
"916",134.51875,-28.80125
"917",134.51875,-27.60125
"918",134.51875,-28.20125
"919",134.51875,-24.60125
"920",134.51875,-27.00125
"921",134.51875,-26.40125
"922",134.51875,-25.20125
"923",134.51875,-25.80125
"924",134.51875,-23.40125
"925",134.51875,-24.00125
"926",134.51875,-21.60125
"927",134.51875,-22.80125
"928",134.51875,-22.20125
"929",133.91875,-31.80125
"930",133.91875,-31.20125
"931",133.91875,-30.00125
"932",133.91875,-30.60125
"933",134.51875,-21.00125
"934",134.51875,-16.80125
"935",134.51875,-19.20125
"936",134.51875,-15.60125
"937",134.51875,-16.20125
"938",133.91875,-29.40125
"939",134.51875,-18.60125
"940",133.91875,-28.80125
"941",133.91875,-28.20125
"942",133.91875,-26.40125
"943",134.51875,-15.00125
"944",134.51875,-18.00125
"945",134.51875,-14.40125
"946",134.51875,-13.80125
"947",133.91875,-27.00125
"948",134.51875,-12.60125
"949",134.51875,-12.60125
"950",133.91875,-25.80125
"951",133.91875,-25.20125
"952",134.51875,-19.80125
"953",133.91875,-24.60125
"954",134.51875,-13.20125
"955",133.91875,-27.60125
"956",133.91875,-24.00125
"957",134.51875,-20.40125
"958",134.51875,-17.40125
"959",133.91875,-22.80125
"960",133.31875,-31.80125
"961",133.91875,-22.20125
"962",133.91875,-21.60125
"963",133.31875,-31.20125
"964",133.91875,-23.40125
"965",133.31875,-30.00125
"966",133.91875,-21.00125
"967",133.91875,-20.40125
"968",133.91875,-18.00125
"969",133.31875,-30.60125
"970",133.31875,-29.40125
"971",133.31875,-27.60125
"972",133.31875,-28.20125
"973",133.91875,-18.60125
"974",133.91875,-19.80125
"975",133.31875,-28.80125
"976",133.91875,-19.20125
"977",133.91875,-14.40125
"978",133.91875,-12.60125
"979",133.91875,-16.20125
"980",133.91875,-17.40125
"981",133.91875,-15.00125
"982",133.91875,-13.20125
"983",133.31875,-27.00125
"984",133.31875,-25.80125
"985",133.31875,-26.40125
"986",133.31875,-24.00125
"987",133.31875,-25.20125
"988",133.31875,-23.40125
"989",133.91875,-12.60125
"990",133.31875,-24.60125
"991",132.71875,-31.80125
"992",133.91875,-12.00125
"993",133.91875,-13.80125
"994",133.31875,-22.20125
"995",133.91875,-16.80125
"996",133.31875,-22.80125
