"","lizards[k]","Tpred","ObsTb","Posture","Tc_init","Qsol","Zen","vel","Tair","Tsurf","PctCanopy","PctCloud","PctShade","RelHum"
"174","M11_opmodel",20.9378111461986,20.8,"p",20.4,652,16.33805084,10.1111192,20.4,17.90466212,94.97,60,50,28
"175","M11_opmodel",21.1698280973514,20.4,"n",20.4,652,16.33805084,10.1111192,20.4,17.90466212,94.97,60,50,28
"176","M11_opmodel",20.9378111461986,20.4,"p",20.4,652,16.33805084,10.1111192,20.4,17.90466212,94.97,60,50,28
"177","M11_opmodel",19.8801338728476,20.9,"n",20.3,356,43.05351639,0.3888892,20.3,17.4204169,28.98,20,100,41
"178","M11_opmodel",19.8801338728476,20.9,"p",20.3,356,43.05351639,0.3888892,20.3,17.4204169,28.98,20,100,41
"179","M11_opmodel",19.8801338728476,22.1,"n",20.3,356,43.05351639,0.3888892,20.3,17.4204169,28.98,20,100,41
"180","M11_opmodel",19.8801338728476,22.1,"p",20.3,356,43.05351639,0.3888892,20.3,17.4204169,28.98,20,100,41
"181","M11_opmodel",42.2304769768728,38.5,"n",37.6,725,55.01888275,1.1944454,37.6,34.15813555,90.2,30,30,7
"182","M11_opmodel",40.4549959836161,38.5,"p",37.6,725,55.01888275,1.1944454,37.6,34.15813555,90.2,30,30,7
"183","M11_opmodel",42.2304769768728,39.6,"n",37.6,725,55.01888275,1.1944454,37.6,34.15813555,90.2,30,30,7
"184","M11_opmodel",40.4549959836161,39.6,"p",37.6,725,55.01888275,1.1944454,37.6,34.15813555,90.2,30,30,7
"185","M11_opmodel",29.7723130901729,28.5,"n",28.1,278,42.42094803,0.6388894,28.1,24.23131941,83.31,95,40,13
"186","M11_opmodel",29.1753880930766,28.5,"p",28.1,278,42.42094803,0.6388894,28.1,24.23131941,83.31,95,40,13
"187","M11_opmodel",29.7723130901729,28.3,"n",28.1,278,42.42094803,0.6388894,28.1,24.23131941,83.31,95,40,13
"188","M11_opmodel",29.1753880930766,28.3,"p",28.1,278,42.42094803,0.6388894,28.1,24.23131941,83.31,95,40,13
"189","M11_opmodel",40.3182325099468,41.5,"n",40.2,594,14.82529831,5.2222264,40.2,42.4018043,0,75,100,5
"190","M11_opmodel",40.3182325099468,41.5,"p",40.2,594,14.82529831,5.2222264,40.2,42.4018043,0,75,100,5
"191","M11_opmodel",40.3182325099468,41.1,"n",40.2,594,14.82529831,5.2222264,40.2,42.4018043,0,75,100,5
"192","M11_opmodel",40.3182325099468,41.1,"p",40.2,594,14.82529831,5.2222264,40.2,42.4018043,0,75,100,5
"193","M11_opmodel",42.0370997425105,43.4,"n",42,876,42.42094803,2.2500018,42,42.44790039,28.98,50,100,3
"194","M11_opmodel",42.0370997425105,43.4,"p",42,876,42.42094803,2.2500018,42,42.44790039,28.98,50,100,3
"195","M11_opmodel",42.0370997425105,45.6,"n",42,876,42.42094803,2.2500018,42,42.44790039,28.98,50,100,3
"196","M11_opmodel",42.0370997425105,45.6,"p",42,876,42.42094803,2.2500018,42,42.44790039,28.98,50,100,3
"197","M11_opmodel",30.8377304974834,30.4,"n",30.9,852,30.1738472,4.8888928,30.9,29.66755974,28.98,45,100,13
"198","M11_opmodel",30.8377304974834,30.4,"p",30.9,852,30.1738472,4.8888928,30.9,29.66755974,28.98,45,100,13
"199","M11_opmodel",30.8377304974834,30.1,"n",30.9,852,30.1738472,4.8888928,30.9,29.66755974,28.98,45,100,13
"200","M11_opmodel",30.8377304974834,30.1,"p",30.9,852,30.1738472,4.8888928,30.9,29.66755974,28.98,45,100,13
"201","M11_opmodel",27.1649146407792,26,"n",27.2,705,54.46146011,5.8055602,27.2,26.4124633,28.98,60,100,12
"202","M11_opmodel",27.1649146407792,26,"p",27.2,705,54.46146011,5.8055602,27.2,26.4124633,28.98,60,100,12
"203","M11_opmodel",27.1649146407792,25.7,"n",27.2,705,54.46146011,5.8055602,27.2,26.4124633,28.98,60,100,12
"204","M11_opmodel",27.1649146407792,25.7,"p",27.2,705,54.46146011,5.8055602,27.2,26.4124633,28.98,60,100,12
"205","M11_opmodel",28.9375190789205,29.9,"n",29,702,54.26203537,2.916669,29,28.03433245,28.98,0,100,9
"206","M11_opmodel",28.9375190789205,29.9,"p",29,702,54.26203537,2.916669,29,28.03433245,28.98,0,100,9
"207","M11_opmodel",28.9375190789205,29.6,"n",29,702,54.26203537,2.916669,29,28.03433245,28.98,0,100,9
"208","M11_opmodel",28.9375190789205,29.6,"p",29,702,54.26203537,2.916669,29,28.03433245,28.98,0,100,9
"209","M11_opmodel",37.3610563442696,34.8,"n",37.6,453,41.69092178,0.8055562,37.6,35.69967868,28.98,0,100,21
"210","M11_opmodel",37.3610563442696,34.8,"p",37.6,453,41.69092178,0.8055562,37.6,35.69967868,28.98,0,100,21
"211","M11_opmodel",37.3610563442696,35.9,"n",37.6,453,41.69092178,0.8055562,37.6,35.69967868,28.98,0,100,21
"212","M11_opmodel",37.3610563442696,35.9,"p",37.6,453,41.69092178,0.8055562,37.6,35.69967868,28.98,0,100,21
"213","M12_opmodel",37.2876147556904,42.2,"n",37.2,450,50.1263504,8.5555624,37.2,39.38108467,0,30,100,4
"214","M12_opmodel",37.2876147556904,42.2,"p",37.2,450,50.1263504,8.5555624,37.2,39.38108467,0,30,100,4
"215","M12_opmodel",37.2876147556904,41,"n",37.2,450,50.1263504,8.5555624,37.2,39.38108467,0,30,100,4
"216","M12_opmodel",37.2876147556904,41,"p",37.2,450,50.1263504,8.5555624,37.2,39.38108467,0,30,100,4
"217","M12_opmodel",25.2834413874773,35.5,"n",25.1,577,27.73885536,5.0555596,25.1,26.49649837,0,70,95,25
